Year,Total_Revenue_B,Net_Income_B,EPS_Diluted,Billed_Business_T,Cards_In_Force_M,New_Card_Acquisitions_M,Net_Card_Fee_Revenue_B,Net_Interest_Income_B,Return_on_Equity_pct,Stock_Price_EOY,Market_Cap_B,Dividend_Per_Share,Credit_Loss_Provision_B,Operating_Expenses_B
2016,32.12,5.41,5.65,1.03,112.2,11.1,2.61,4.28,25.3,74.02,65.8,1.16,1.45,21.3
2017,33.47,2.74,2.97,1.10,114.4,11.5,2.89,4.51,12.1,99.76,85.6,1.22,1.51,22.8
2018,36.90,6.92,7.33,1.20,115.6,12.0,3.09,5.08,28.7,90.33,77.2,1.34,1.62,24.6
2019,43.56,6.76,7.99,1.24,114.4,12.0,3.49,5.45,27.1,124.58,103.2,1.48,1.70,26.2
2020,36.09,3.13,3.77,0.93,114.4,8.5,3.56,5.36,11.5,120.96,100.4,1.56,4.67,24.7
2021,42.38,8.06,9.87,1.28,116.7,12.5,3.73,5.28,33.2,174.42,142.8,1.56,0.81,26.4
2022,52.86,7.51,9.85,1.52,133.3,12.5,5.00,6.93,31.3,152.26,116.2,1.72,2.18,34.7
2023,60.52,8.37,11.21,1.67,141.2,12.5,6.07,7.22,33.0,185.04,138.9,2.20,4.92,38.9
2024,66.00,10.09,14.01,1.75,146.0,13.0,7.12,8.47,36.5,310.00,208.9,2.57,5.19,42.3
2025,80.46,10.70,15.41,1.87,151.0,13.2,8.45,9.10,38.2,278.50,185.2,3.00,5.26,47.8
