Category,Subcategory,Value_2022,Value_2023,Value_2024,Value_2025,Unit
Demographics,Millennial_GenZ_New_Acq_pct,55,60,63,65,percentage
Demographics,Female_Cardholders_pct,42,43,44,45,percentage
Demographics,Premium_Card_Share_pct,62,65,68,70,percentage
Demographics,Avg_Annual_Spend_Per_Card,11392,11826,11986,12450,USD
Spending Category,Travel & Entertainment,28.4,29.1,30.2,31.5,percentage_of_billed
Spending Category,Dining & Food,18.2,19.0,19.8,20.4,percentage_of_billed
Spending Category,Retail & Shopping,22.1,21.8,21.2,20.9,percentage_of_billed
Spending Category,Digital & Subscription,8.4,9.2,10.1,11.2,percentage_of_billed
Spending Category,Healthcare,5.2,5.4,5.6,5.8,percentage_of_billed
Spending Category,Business & B2B,12.1,11.8,11.5,11.4,percentage_of_billed
Spending Category,Other,5.6,3.7,1.6,0,percentage_of_billed
Retention,Card_Member_Retention_Rate_pct,87,88,88,89,percentage
Retention,Avg_Tenure_Years,7.2,7.4,7.6,7.8,years
Network,Merchant_Locations_M,99.0,112.0,130.0,160.0,millions
Network,Countries_Markets,155,157,159,165,count
Credit,Net_Write_Off_Rate_pct,1.3,2.0,2.0,1.9,percentage
Credit,30plus_Day_Past_Due_pct,1.1,1.3,1.2,1.1,percentage
