Quarter,Year,Period,Total_Revenue_B,Net_Income_B,EPS_Diluted,Billed_Business_B,New_Cards_M,Net_Card_Fees_B,Net_Interest_Income_B,Write_Off_Rate_pct
Q1,2022,2022-Q1,12.49,2.10,2.73,349.2,2.9,1.14,1.65,1.1
Q2,2022,2022-Q2,13.39,2.23,2.89,395.0,3.2,1.23,1.71,1.2
Q3,2022,2022-Q3,13.56,1.88,2.47,397.8,3.2,1.28,1.77,1.4
Q4,2022,2022-Q4,14.18,1.57,2.07,411.0,3.0,1.32,1.80,1.5
Q1,2023,2023-Q1,14.28,2.09,2.72,381.7,3.4,1.43,1.74,1.8
Q2,2023,2023-Q2,15.05,2.17,2.89,397.9,3.3,1.51,1.81,1.9
Q3,2023,2023-Q3,15.38,2.45,3.30,416.7,3.3,1.56,1.83,2.0
Q4,2023,2023-Q4,15.80,2.09,2.62,432.4,2.7,1.57,1.84,2.1
Q1,2024,2024-Q1,15.80,2.44,3.33,367.0,3.4,1.71,2.03,2.1
Q2,2024,2024-Q2,16.33,3.02,4.15,388.2,3.3,1.78,2.12,2.0
Q3,2024,2024-Q3,16.64,2.51,3.49,416.4,3.3,1.82,2.15,1.9
Q4,2024,2024-Q4,17.18,2.17,3.04,403.4,2.9,1.81,2.17,1.8
Q1,2025,2025-Q1,16.97,2.58,3.64,387.4,3.2,2.02,2.28,1.9
Q2,2025,2025-Q2,17.86,2.90,4.08,416.3,3.4,2.12,2.35,1.9
Q3,2025,2025-Q3,18.50,2.80,3.95,435.0,3.3,2.22,2.42,1.9
Q4,2025,2025-Q4,19.13,2.42,3.74,448.3,3.3,2.09,2.05,1.9
