Year,Segment,Revenue_B,Pretax_Income_B,Billed_Business_B,Cards_In_Force_M
2022,US Consumer Services,28.92,4.21,840.0,74.2
2022,Commercial Services,12.11,2.86,472.0,26.4
2022,International Card Services,8.45,0.82,225.0,32.7
2022,GMNS & Other,3.38,0.47,0,0
2023,US Consumer Services,33.14,5.14,920.0,78.3
2023,Commercial Services,13.88,3.52,510.0,27.1
2023,International Card Services,9.68,1.09,248.0,35.8
2023,GMNS & Other,3.82,0.54,0,0
2024,US Consumer Services,36.50,6.88,990.0,81.5
2024,Commercial Services,15.22,3.95,540.0,28.3
2024,International Card Services,10.80,1.41,274.0,36.2
2024,GMNS & Other,3.48,0.59,0,0
2025,US Consumer Services,43.80,7.90,1060.0,84.2
2025,Commercial Services,18.15,4.67,590.0,29.1
2025,International Card Services,13.72,2.01,310.0,37.7
2025,GMNS & Other,4.79,0.74,0,0
