Company,Ticker,Year,Revenue_B,Net_Income_B,Market_Cap_B,Cards_In_Force_M,Purchase_Volume_T,Net_Promoter_Score,Premium_Focus_Score
American Express,AXP,2024,66.0,10.09,208.9,146.0,1.75,70,95
Visa,V,2024,35.9,19.7,587.0,4300.0,12.30,55,60
Mastercard,MA,2024,28.2,12.9,445.0,3400.0,9.80,58,62
JPMorgan Chase (Cards),JPM,2024,20.5,4.2,180.0,98.0,0.95,45,55
Capital One,COF,2024,21.7,4.8,62.0,110.0,0.49,42,50
Discover,DFS,2024,16.6,2.8,38.0,68.0,0.21,46,52
American Express,AXP,2025,80.46,10.70,185.2,151.0,1.87,72,96
Visa,V,2025,38.5,20.9,612.0,4500.0,13.20,56,61
Mastercard,MA,2025,30.6,14.1,478.0,3600.0,10.60,59,63
JPMorgan Chase (Cards),JPM,2025,22.8,4.8,195.0,104.0,1.05,47,56
Capital One,COF,2025,24.1,5.3,68.0,118.0,0.54,44,51
Discover,DFS,2025,18.9,3.2,42.0,71.0,0.24,47,53
